ticker,pe_ratio,revenue_growth,roe,debt_to_equity,dividend_yield,industry,sector,score
RMD,31.051792,0.111,0.23565,16.366,0.0091,Medical Instruments & Supplies,Healthcare,6
SLB,12.418007,0.102,0.21722999,57.141,0.028499998,Oil & Gas Equipment & Services,Energy,8
STX,22.963825,0.491,0.14550000000000002,0.14550000000000002,0.0324,Computer Hardware,Technology,7
NOW,158.84805,0.222,0.16221,24.166,0.16597,Software - Application,Technology,7
SPG,22.734043,0.049,0.81232,780.789,0.049099997,REIT - Retail,Real Estate,6
SNA,17.096657,-0.005,0.20599002,23.352,0.0257,Tools & Accessories,Industrials,6
STT,14.719436,0.201,0.0855,18.07676,0.0324,Asset Management,Financial Services,7
SMCI,16.218904,1.43,0.32469,39.749,0.14550000000000002,Computer Hardware,Technology,9
SYF,8.281818,0.116,0.21279,105.313,0.015700001,Credit Services,Financial Services,6
SNPS,53.190063,0.127,0.21819,8.7,0.30247999999999997,Software - Infrastructure,Technology,8
TROW,11.889376,0.069,0.20495,3.247,0.045700002,Asset Management,Financial Services,9
TGT,15.018026,0.027,0.33968,132.802,0.0287,Discount Stores,Consumer Defensive,6
TEL,13.62766,0.008,0.26461,37.194,0.0185,Electronic Components,Technology,6
TSLA,108.7438,0.078,0.20389,18.078,0.03589999975,Auto Manufacturers,Consumer Cyclical,6
TDG,49.262684,0.18,32.903633,32.903633,32.903633,Aerospace & Defense,Industrials,8
TRV,11.931725,0.119,0.19059,29.004,0.018099999,Insurance - Property & Casualty,Financial Services,7
TRMB,11.744147,-0.085,0.28913,32.544,0.0093,Scientific & Technical Instruments,Technology,6
TFC,15.0659305,0.061,-0.09505,15.0659305,0.048600003,Banks - Regional,Financial Services,7
USB,14.578462,-0.032,0.09779,15.0659305,0.0422,Banks - Regional,Financial Services,6
UBER,32.49754,0.204,0.34326,80.343,0.16597,Software - Application,Technology,6
ULTA,16.7493,0.009,0.54978,82.149,0.5058,Specialty Retail,Consumer Cyclical,6
UAL,12.766388,0.025,0.27245,291.676,12.6636815,Airlines,Industrials,7
UPS,18.622356,0.056,0.31422,155.425,0.0529,Integrated Freight & Logistics,Industrials,6
VRSN,24.163363,0.038,0.30247999999999997,0.30247999999999997,0.30247999999999997,Software - Infrastructure,Technology,8
VZ,16.367966,0.0315,0.10431,182.615,0.0717,Telecom Services,Communication Services,6
VRTX,77.16842,0.116,-0.029849999,11.35,77.16842,Biotechnology,Healthcare,6
VICI,10.448148,0.067,0.111899994,66.55,0.061300002,REIT - Diversified,Real Estate,7
WRB,14.538462,0.122,0.20537001,36.284,0.0056,Insurance - Property & Casualty,Financial Services,7
WDC,69.03297,0.14550000000000002,0.033239998,0.14550000000000002,0.14550000000000002,Computer Hardware,Technology,6
WDAY,41.003284,0.167,0.21080999,40.312,0.16597,Software - Application,Technology,7
WYNN,9.741897,0.013,11.422939,11.422939,0.0123000005,Resorts & Casinos,Consumer Cyclical,7
YUM,23.037384,0.069,0.47146,0.47146,0.0217,Restaurants,Consumer Cyclical,6
