ticker,pe_ratio,revenue_growth,roe,debt_to_equity,dividend_yield,industry,sector,score
L,11.1283245,0.138,0.10669,52.247,0.003,Insurance - Property & Casualty,Financial Services,6
MTB,14.548447,0.012,0.08676,16.009179,0.027,Banks - Regional,Financial Services,6
MKTX,31.780487,0.2,0.21625,5.424,0.0127,Capital Markets,Financial Services,6
MTCH,14.247757,0.016,0.32101002,0.32101002,0.0235,Internet Content & Information,Communication Services,8
MCD,26.087719,0.027,0.47146,0.47146,0.0238,Restaurants,Consumer Cyclical,7
MCK,29.150549,0.213,1.0772599,1.0772599,0.005,Medical Distribution,Healthcare,6
META,29.51418,0.189,0.36134,29.811,0.0032,Internet Content & Information,Communication Services,6
MET,16.619675,0.162,0.13260001,151.463,0.026300002,Insurance - Life,Financial Services,6
MTD,33.821148,0.013,0.13084000499999998,0.13084000499999998,0.13084000499999998,Diagnostics & Research,Healthcare,6
MGM,12.831541,0.053,0.2901,841.031,12.831541,Resorts & Casinos,Consumer Cyclical,7
MOH,14.860815,0.174,0.26454002,53.019,0.0175,Healthcare Plans,Healthcare,7
MPWR,71.00734,0.306,0.20214,0.693,0.008,Semiconductors,Technology,6
MNST,33.516026,0.013,0.23517,13.985,0.031,Beverages - Non-Alcoholic,Consumer Defensive,6
NFLX,52.20475,0.15,0.34714,81.461,46.048386,Entertainment,Communication Services,6
NTRS,13.057285,0.145,0.13732,20.744837,0.028399998,Asset Management,Financial Services,8
NCLH,23.06579,0.107,0.69788,1240.664,0.38564998,Travel Services,Consumer Cyclical,7
NVDA,50.861656,1.224,1.23767,17.221,0.00029999999,Semiconductors,Technology,6
NVR,17.434631,0.06,0.38716,24.537,0.0108,Residential Construction,Consumer Cyclical,7
ORLY,31.269146,0.038,0.5058,0.5058,0.5058,Specialty Retail,Consumer Cyclical,7
OMC,12.177595,0.085,0.33923998,155.236,0.0308,Advertising Agencies,Communication Services,6
ON,16.766748,-0.192,0.2183,42.376,45.6842995,Semiconductors,Technology,7
OKE,21.473518,0.199,0.16875,166.619,0.0385,Oil & Gas Midstream,Energy,6
PLTR,369.3,0.3,0.12409,5.552,0.30247999999999997,Software - Infrastructure,Technology,7
PANW,53.118183,0.121,0.74517995,27.28,0.30247999999999997,Software - Infrastructure,Technology,8
PAYX,30.164179,0.025,0.45672,22.517,0.0278,Software - Application,Technology,6
PAYC,28.138988,0.112,0.32584998,5.516,0.0064999997,Software - Application,Technology,6
PYPL,21.674643,0.058,0.22188,65.718,105.313,Credit Services,Financial Services,7
PSX,14.822477,-0.104,0.11121,67.143,0.0396,Oil & Gas Refining & Marketing,Energy,6
PNC,16.747252,0.017,0.099020004,16.009179,0.0319,Banks - Regional,Financial Services,6
PGR,18.023619,0.267,0.36411,25.375,0.0016,Insurance - Property & Casualty,Financial Services,7
PRU,10.643811,1.334,0.13773,141.51,0.0431,Insurance - Life,Financial Services,7
PTC,63.516026,0.146,0.12775,60.052,0.16409,Software - Application,Technology,6
PHM,8.623616,0.118,0.26705,19.411,0.0075,Residential Construction,Consumer Cyclical,8
QCOM,17.649889,0.187,0.42253,58.765,0.0215,Semiconductors,Technology,6
RJF,16.320103,0.132,0.19348,45.916,0.0125,Asset Management,Financial Services,6
REGN,18.358713,0.106,0.17166,9.221,79.16316,Biotechnology,Healthcare,8
RF,13.96096,0.156,0.10042,16.009179,0.0397,Banks - Regional,Financial Services,9
RMD,32.31764,0.111,0.23565,16.366,0.0088,Medical Instruments & Supplies,Healthcare,6
SLB,12.463022,0.102,0.21722999,57.141,0.0276,Oil & Gas Equipment & Services,Energy,8
STX,24.679588,0.491,0.14550000000000002,0.14550000000000002,0.0301,Computer Hardware,Technology,7
NOW,174.36414,0.222,0.16221,24.166,0.16409,Software - Application,Technology,7
SPG,24.240345,0.049,0.81232,780.789,0.0462,REIT - Retail,Real Estate,6
SNA,17.92644,-0.005,0.20599002,23.352,0.024300002,Tools & Accessories,Industrials,6
STT,15.5721,0.201,0.0855,20.744837,0.030199999,Asset Management,Financial Services,7
SMCI,16.880598,1.43,0.32469,39.749,0.14550000000000002,Computer Hardware,Technology,9
SYF,8.768831,0.116,0.21279,105.313,0.0146,Credit Services,Financial Services,6
SNPS,55.63691,0.127,0.21819,8.7,0.30247999999999997,Software - Infrastructure,Technology,8
TROW,12.953739,0.069,0.20495,3.247,0.0416,Asset Management,Financial Services,9
TGT,13.822906,0.027,0.33968,132.802,0.0287,Discount Stores,Consumer Defensive,6
TEL,14.357004,0.008,0.26461,37.194,0.0173,Electronic Components,Technology,6
TSLA,129.05219,0.078,0.20389,18.078,0.034650002,Auto Manufacturers,Consumer Cyclical,6
TDG,49.406834,0.18,32.566074,32.566074,32.566074,Aerospace & Defense,Industrials,8
TRV,12.540554,0.119,0.19059,29.004,0.0171,Insurance - Property & Casualty,Financial Services,7
TRMB,12.172241,-0.085,0.28913,32.544,0.00909999975,Scientific & Technical Instruments,Technology,6
TFC,16.009179,0.061,-0.09505,16.009179,0.045900002,Banks - Regional,Financial Services,7
USB,15.489231,-0.032,0.09779,16.009179,0.038900003,Banks - Regional,Financial Services,6
UBER,29.65271,0.204,0.34326,80.343,0.16409,Software - Application,Technology,6
ULTA,16.954363,0.009,0.54978,82.149,0.5058,Specialty Retail,Consumer Cyclical,7
UAL,11.259832,0.025,0.27245,291.676,9.849056000000001,Airlines,Industrials,7
UPS,19.277946,0.056,0.31422,155.425,0.0507,Integrated Freight & Logistics,Industrials,6
VRSN,22.812572,0.038,0.30247999999999997,0.30247999999999997,0.30247999999999997,Software - Infrastructure,Technology,8
VRTX,79.16316,0.116,-0.029849999,11.35,79.16316,Biotechnology,Healthcare,6
VICI,11.2277775,0.067,0.111899994,66.55,0.0559,REIT - Diversified,Real Estate,7
WRB,15.146153,0.122,0.20537001,36.284,0.0054,Insurance - Property & Casualty,Financial Services,7
WDC,71.40659,0.14550000000000002,0.033239998,0.14550000000000002,0.14550000000000002,Computer Hardware,Technology,6
WYNN,11.008403,0.013,12.831541,12.831541,0.0112,Resorts & Casinos,Consumer Cyclical,7
YUM,25.409348,0.069,0.47146,0.47146,0.0198,Restaurants,Consumer Cyclical,6
